iter	Passed	Remaining
410	4187	6000
411	4199	5994
412	4214	5990
413	4225	5980
414	4235	5970
415	4244	5958
416	4255	5949
417	4262	5934
418	4271	5922
419	4282	5913
420	4291	5902
421	4299	5888
422	4313	5884
423	4323	5874
424	4330	5858
425	4341	5849
426	4348	5834
427	4356	5821
428	4367	5812
429	4376	5801
430	4383	5786
431	4391	5773
432	4400	5761
433	4421	5765
434	4429	5752
435	4440	5744
436	4449	5732
437	4458	5720
438	4471	5713
439	4478	5700
440	4487	5687
441	4495	5675
442	4512	5673
443	4522	5662
444	4535	5656
445	4546	5648
446	4553	5632
447	4560	5619
448	4572	5611
449	4580	5598
450	4588	5585
451	4595	5572
452	4603	5559
453	4612	5547
454	4623	5538
455	4634	5528
456	4649	5524
457	4658	5512
458	4668	5502
459	4676	5489
460	4682	5475
461	4693	5465
462	4707	5459
463	4720	5453
464	4733	5446
465	4741	5433
466	4749	5420
467	4758	5409
468	4772	5403
469	4779	5390
470	4788	5377
471	4798	5367
472	4810	5359
473	4821	5350
474	4833	5342
475	4866	5357
476	4890	5361
477	4918	5371
478	4931	5364
479	4944	5356
480	4961	5353
481	4983	5355
482	4997	5349
483	5008	5339
484	5021	5331
485	5031	5321
486	5043	5312
487	5054	5303
488	5065	5292
489	5075	5283
490	5083	5269
491	5096	5262
492	5106	5251
493	5114	5238
494	5125	5228
495	5145	5228
496	5153	5215
497	5166	5207
498	5174	5194
499	5184	5184
500	5201	5181
501	5208	5167
502	5221	5159
503	5227	5144
504	5240	5136
505	5246	5122
506	5260	5115
507	5268	5102
508	5279	5093
509	5292	5084
510	5303	5075
511	5311	5062
512	5319	5050
513	5329	5038
514	5337	5026
515	5344	5012
516	5356	5004
517	5363	4991
518	5372	4978
519	5382	4968
520	5390	4955
521	5398	4943
522	5404	4929
523	5412	4916
524	5419	4903
525	5433	4895
526	5438	4881
527	5450	4872
528	5458	4859
529	5465	4846
530	5475	4836
531	5485	4825
532	5493	4813
533	5500	4800
534	5507	4787
535	5517	4776
536	5525	4763
537	5536	4754
538	5551	4747
539	5561	4737
540	5568	4724
541	5579	4714
542	5588	4702
543	5595	4689
544	5602	4677
545	5608	4663
546	5618	4653
547	5627	4641
548	5633	4628
549	5641	4615
550	5650	4604
551	5657	4591
552	5666	4580
553	5677	4570
554	5686	4559
555	5693	4546
556	5699	4533
557	5709	4522
558	5717	4510
559	5724	4497
560	5732	4485
561	5742	4475
562	5751	4464
563	5761	4454
564	5775	4446
565	5781	4433
566	5793	4424
567	5799	4411
568	5812	4402
569	5820	4390
570	5829	4379
571	5839	4369
572	5849	4358
573	5856	4346
574	5864	4334
575	5872	4322
576	5884	4314
577	5892	4302
578	5905	4293
579	5916	4284
580	5923	4271
581	5931	4260
582	5945	4252
583	5959	4244
584	5965	4231
585	5977	4223
586	5995	4218
587	6010	4211
588	6018	4199
589	6024	4186
590	6037	4178
591	6047	4167
592	6056	4156
593	6062	4143
594	6073	4134
595	6084	4124
596	6092	4112
597	6103	4102
598	6112	4091
599	6122	4081
600	6132	4071
601	6142	4061
602	6152	4050
603	6161	4039
604	6170	4028
605	6190	4024
606	6202	4015
607	6214	4007
608	6225	3996
609	6235	3986
610	6243	3975
611	6255	3965
612	6266	3956
613	6274	3944
614	6283	3933
615	6290	3921
616	6302	3912
617	6309	3899
618	6317	3888
619	6324	3876
620	6337	3867
621	6344	3855
622	6355	3846
623	6364	3835
624	6371	3822
625	6378	3810
626	6391	3802
627	6399	3790
628	6409	3780
629	6415	3768
630	6426	3758
631	6434	3746
632	6443	3735
633	6451	3724
634	6462	3714
635	6469	3702
636	6480	3693
637	6491	3683
638	6499	3671
639	6506	3660
640	6515	3649
641	6526	3639
642	6533	3627
643	6542	3616
644	6548	3604
645	6559	3594
646	6569	3584
647	6575	3571
648	6588	3563
649	6595	3551
650	6613	3545
651	6624	3535
652	6632	3524
653	6644	3515
654	6652	3503
655	6662	3493
656	6669	3482
657	6678	3471
658	6689	3461
659	6701	3452
660	6711	3442
661	6724	3433
662	6731	3421
663	6738	3409
664	6749	3400
665	6757	3388
666	6771	3380
667	6806	3382
668	6827	3377
669	6833	3365
670	6846	3357
671	6856	3346
672	6867	3336
673	6876	3326
674	6899	3322
675	6907	3310
676	6920	3301
677	6934	3293
678	6942	3282
679	6951	3271
680	6958	3259
681	6965	3247
682	6974	3237
683	6983	3226
684	6995	3217
685	7001	3204
686	7014	3195
687	7022	3184
688	7032	3174
